brandKey,gameUid,displayName,category,imageUrl
JILI,3978,Sweet Magic,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/3978/public
JILI,_TEEN_,TeenPatti,flash,https://ik.imagekit.io/f4rqxekfu/games/full_library/teenpatti.png
JILI,110,TeenPatti 20-20,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/110/public
JILI,107,TeenPatti Joker,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/107/public
JILI,1008,Thai Hilo,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1008/public
JILI,588,The Pig House,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/588/public
JILI,570,Thor X,Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/570/public
JILI,170,Tongits Go,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/170/public
JILI,656,Tower,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/656/public
JILI,484,Treasure Quest,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/484/public
JILI,954,Trial of Phoenix,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/954/public
JILI,907,TWIN WINS,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/907/public
JILI,595,Ultimate Texas Hold'em,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/595/public
JILI,183,Video Poker,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/183/public
JILI,340,War Of Dragons,Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/340/public
JILI,645,West Hunter Bingo,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/645/public
JILI,497,Wheel,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/497/public
JILI,709,Wild Ace,Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/709/public
JILI,211,Wild Racer,Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/211/public
JILI,586,Win Drop,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/586/public
JILI,593,Witches Night,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/593/public
JILI,177,World Cup,Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/177/public
JILI,412,XiYangYang,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/412/public
JILI,358,Zeus,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/358/public
