Game ID,Game Name,Brand,Category,Image URL
,"Cocktail Nights","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/420/public
,"Cruise Royale","PGSoft",Slot Game,https://igamingapis.com/img/10086.png
,"Crypto Gold","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/821/public
,"Dead Man's Riches","PGSoft",Slot Game,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/10114/public
,"Destiny of Sun & Moon","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/442/public
,"Diner Delights","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/568/public
,"Diner Frenzy Spins","PGSoft",Slot Game,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/10117/public
,"Doomsday Rampage","PGSoft",Slot Game,https://igamingapis.com/img/10112.png
,"Double Fortune","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/249/public
,"Dragon Hatch","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/339/public
,"Dragon Hatch2","PGSoft",Slot Game,https://igamingapis.com/img/10094.png
